what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699361933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699364480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359699366224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359699368184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699372369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699374494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699377850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699379523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359699381690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699382386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699478540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359699485117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699485669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699487667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359699489221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699489736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699491444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359699495302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699495798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359699519666
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359699522696
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1359699532642
